id,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1.17E+18,9/14/2019,19:54:20,India Standard Time,54827721,bawahs,HS Bawa-YesPunjab,,Is #RahulGandhi giving a miss to #Congress meetings? @RahulGandhi @INCIndia  http://owl.li/Eugg30px6WE  pic.twitter.com/TmyqQ9ai5n,"['rahulgandhi', 'incindia']",['http://owl.li/Eugg30px6WE'],['https://pbs.twimg.com/media/EEbnAxyWwAAqDCm.jpg'],0,0,0,"['#rahulgandhi', '#congress']",[],https://twitter.com/BawaHS/status/1172878754991001600,FALSE,,0,,,,,,,"[{'user_id': '54827721', 'username': 'BawaHS'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",
1.17E+18,9/14/2019,19:54:08,India Standard Time,224961966,yespunjab,YesPunjab(.)com,,Is #RahulGandhi giving a miss to #Congress meetings? @RahulGandhi @INCIndia  http://owl.li/Eugg30px6WE  pic.twitter.com/uIpmuzzY5Q,"['rahulgandhi', 'incindia']",['http://owl.li/Eugg30px6WE'],['https://pbs.twimg.com/media/EEbm90xWsAAaJTM.jpg'],0,0,0,"['#rahulgandhi', '#congress']",[],https://twitter.com/yespunjab/status/1172878704541917184,FALSE,,0,,,,,,,"[{'user_id': '224961966', 'username': 'yespunjab'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",
1.17E+18,9/10/2019,14:38:09,India Standard Time,1.10E+18,devbhoomiputra,देवभूमिपुत्र🚩,,Congratulations @RahulGandhi @INCIndia @adhirrcinc #Congress #RahulGandhi #Pakistan https://twitter.com/ANI/status/1171347781224554498 …,"['rahulgandhi', 'incindia', 'adhirrcinc']",['https://twitter.com/ANI/status/1171347781224554498'],[],0,0,0,"['#congress', '#rahulgandhi', '#pakistan']",[],https://twitter.com/devbhoomiputra/status/1171349631525015553,FALSE,https://twitter.com/ANI/status/1171347781224554498,0,,,,,,,"[{'user_id': '1097808018257829889', 'username': 'devbhoomiputra'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}, {'user_id': '4922523978', 'username': 'adhirrcinc'}]",
1.17E+18,9/10/2019,7:56:17,India Standard Time,17732518,ormiga,ormiga,,HA #ShashiTharoor: did not join #Congress for lifelong career = kursi chhodo #rahulgandhi = @ShashiTharoor is HUNGRY to lead @INCIndia CHAL HUT @rahulgandhi HAHA   https://www.hindustantimes.com/india-news/shashi-tharoor-says-he-did-not-join-congress-for-lifelong-career/story-0VenuCn2RNXQIr0SOA17dK.html …,"['shashitharoor', 'incindia', 'rahulgandhi']",['https://www.hindustantimes.com/india-news/shashi-tharoor-says-he-did-not-join-congress-for-lifelong-career/story-0VenuCn2RNXQIr0SOA17dK.html'],[],0,0,0,"['#shashitharoor', '#congress', '#rahulgandhi']",[],https://twitter.com/ormiga/status/1171248499758788609,FALSE,,0,,,,,,,"[{'user_id': '17732518', 'username': 'ormiga'}, {'user_id': '24705126', 'username': 'ShashiTharoor'}, {'user_id': '1153045459', 'username': 'INCIndia'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}]",
1.17E+18,9/8/2019,21:55:39,India Standard Time,8.09E+17,inc_irfanquadri,Mohd Irfan Quadri,,"Congratulations on joining the #Congress party @LambaAlka @INCIndia. Let's work for a #better, #united, #democratic, #secular, #strong and #developed #India under the leadership of #RahulGandhi @RahulGandhi and the presidentship of #SoniaGandhi ji pic.twitter.com/HyK3z8Qf7V","['lambaalka', 'incindia', 'rahulgandhi']",[],['https://pbs.twimg.com/media/ED9JObRU0AEMULz.jpg'],0,0,3,"['#congress', '#better', '#united', '#democratic', '#secular', '#strong', '#developed', '#india', '#rahulgandhi', '#soniagandhi']",[],https://twitter.com/INC_irfanQuadri/status/1170734954885435392,FALSE,,0,,,,,,,"[{'user_id': '808518852753534976', 'username': 'INC_irfanQuadri'}, {'user_id': '109930762', 'username': 'LambaAlka'}, {'user_id': '1153045459', 'username': 'INCIndia'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}]",
1.17E+18,9/8/2019,19:25:11,India Standard Time,8.42E+17,amanpatni7,Aman Patni,,no of people decreasing in madhouse in agra rahul gandhi arrested😂😂😂 by the same logic  @RahulGandhi @RoflGandhi_ @Nidhi @LambaAlka @rvrishabh0306 #agra #madhouse_agra #RahulGandhi #NDTV #Congress @priyankagandhi #waynad,"['incindia', 'rahulgandhi', 'roflgandhi_', 'nidhi', 'lambaalka', 'rvrishabh0306', 'priyankagandhi']",[],[],1,0,1,"['#agra', '#madhouse_agra', '#rahulgandhi', '#ndtv', '#congress', '#waynad']",[],https://twitter.com/AmanPatni7/status/1170697092248915968,FALSE,,0,,,,,,,"[{'user_id': '842079805013143565', 'username': 'AmanPatni7'}, {'user_id': '1153045459', 'username': 'INCIndia'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '115887279', 'username': 'RoflGandhi_'}, {'user_id': '3184454384', 'username': 'Nidhi'}, {'user_id': '109930762', 'username': 'LambaAlka'}, {'user_id': '728561370', 'username': 'rvrishabh0306'}, {'user_id': '1094645942735855618', 'username': 'priyankagandhi'}]",
1.17E+18,9/8/2019,18:00:21,India Standard Time,1.08E+18,sujayvenk1,Sujayvenk,,#RahulShamesIndia #RahulGandhi @RahulGandhi #Congress @INCIndia #HrithikRoshan @iHrithik  Is #HrithikRoshan supporting #RahulGandhi and #Congress  pic.twitter.com/h3GSrEQ4CF,"['rahulgandhi', 'incindia', 'ihrithik']",[],"['https://pbs.twimg.com/media/ED8TWclUwAA8jwO.jpg', 'https://pbs.twimg.com/media/ED8TXFIUcAIYkEa.jpg', 'https://pbs.twimg.com/media/ED8TXsLUUAEtQiw.jpg']",0,0,1,"['#rahulshamesindia', '#rahulgandhi', '#congress', '#hrithikroshan', '#hrithikroshan', '#rahulgandhi', '#congress']",[],https://twitter.com/Sujayvenk1/status/1170675740469276672,FALSE,,0,,,,,,,"[{'user_id': '1083334577366564865', 'username': 'Sujayvenk1'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}, {'user_id': '113419517', 'username': 'iHrithik'}]",
1.17E+18,9/8/2019,15:41:46,India Standard Time,240678469,madhuc430,Chinthala Madhusudhan Reddy,,@RahulGandhi You Are True 100 Days Not Even A Thousand Days Your @INCIndia Will Not Develop. #Congress #RahulGandhi #100DaysNoVikas @priyankagandhi #SoniaGandhi,"['rahulgandhi', 'incindia', 'priyankagandhi']",[],[],0,0,0,"['#congress', '#rahulgandhi', '#100daysnovikas', '#soniagandhi']",[],https://twitter.com/madhuc430/status/1170640865225691137,FALSE,,0,,,,,,,"[{'user_id': '240678469', 'username': 'madhuc430'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}, {'user_id': '1094645942735855618', 'username': 'priyankagandhi'}]",
1.17E+18,9/5/2019,23:51:09,India Standard Time,1.16E+18,prakashakmedia,Prakashak,,Young Congress Leaders Eyeing an Exit Route. #Congress #EXIT #jyotiradityascindia #sachinpilot #milinddeora #jitinprasada #deependerhooda #RahulGandhi @INCIndia @RahulGandhi @JM_Scindia @SachinPilot @milinddeora @JitinPrasada @DeependerSHooda http://www.prakashak.com/young-congress-leaders-eyeing-an-exit-route/ …,"['incindia', 'rahulgandhi', 'jm_scindia', 'sachinpilot', 'milinddeora', 'jitinprasada', 'deependershooda']",['http://www.prakashak.com/young-congress-leaders-eyeing-an-exit-route/'],[],0,0,1,"['#congress', '#exit', '#jyotiradityascindia', '#sachinpilot', '#milinddeora', '#jitinprasada', '#deependerhooda', '#rahulgandhi']",[],https://twitter.com/prakashakmedia/status/1169676858482282497,FALSE,,0,,,,,,,"[{'user_id': '1157158797716017152', 'username': 'prakashakmedia'}, {'user_id': '1153045459', 'username': 'INCIndia'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '2892809359', 'username': 'JM_Scindia'}, {'user_id': '2410755840', 'username': 'SachinPilot'}, {'user_id': '332188446', 'username': 'milinddeora'}, {'user_id': '2541634854', 'username': 'JitinPrasada'}, {'user_id': '49375859', 'username': 'DeependerSHooda'}]",
1.17E+18,9/4/2019,9:27:05,India Standard Time,1571109343,gauravdatta_15,Gaurav Datta,,"@RahulGandhi I wish the @INCIndia  had given this great quote to you, at least the extinction of the party wouldn't have happened! #loosers #Congress #CongressMuktBharat #RahulGandhi #RahulShamesIndia #ChidambaramArrested #DKShivakumar #dkshivkumar #DKShi","['rahulgandhi', 'incindia']",['https://twitter.com/INCIndia/status/1168836020751618048'],[],0,0,0,"['#loosers', '#congress', '#congressmuktbharat', '#rahulgandhi', '#rahulshamesindia', '#chidambaramarrested', '#dkshivakumar', '#dkshivkumar', '#dkshivakumararrested']",[],https://twitter.com/GauravDatta_15/status/1169097022302875648,FALSE,https://twitter.com/INCIndia/status/1168836020751618048,0,,,,,,,"[{'user_id': '1571109343', 'username': 'GauravDatta_15'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '1153045459', 'username': 'INCIndia'}]",
